iter,loss,lr,time_ms,mfu_percent,vram_used_gb,vram_total_gb,vram_percent
0,10.851069,0.00000000,1468.81,-100.00,0.000,0.000,0.00
5,10.879261,0.00000150,3260.55,0.02,0.000,0.000,0.00
10,10.849339,0.00000300,2941.63,0.02,0.000,0.000,0.00
15,10.835402,0.00000450,3014.53,0.02,0.000,0.000,0.00
20,10.834079,0.00000600,2862.74,0.02,0.000,0.000,0.00
25,10.837515,0.00000750,2927.37,0.02,0.000,0.000,0.00
30,10.832078,0.00000900,2909.70,0.02,0.000,0.000,0.00
35,10.818058,0.00001050,2887.51,0.02,0.000,0.000,0.00
40,10.834126,0.00001200,2892.36,0.02,0.000,0.000,0.00
45,10.812889,0.00001350,2907.27,0.02,0.000,0.000,0.00
50,10.809315,0.00001500,4293.85,0.02,0.000,0.000,0.00
55,10.799681,0.00001650,3172.88,0.02,0.000,0.000,0.00
60,10.785239,0.00001800,2765.88,0.02,0.000,0.000,0.00
65,10.799989,0.00001950,2712.00,0.02,0.000,0.000,0.00
70,10.763535,0.00002100,2728.20,0.02,0.000,0.000,0.00
75,10.728849,0.00002250,2757.38,0.02,0.000,0.000,0.00
80,10.710862,0.00002400,2844.36,0.02,0.000,0.000,0.00
85,10.648308,0.00002550,2752.29,0.02,0.000,0.000,0.00
90,10.667522,0.00002700,2800.60,0.02,0.000,0.000,0.00
95,10.643616,0.00002850,2726.56,0.02,0.000,0.000,0.00
100,10.594701,0.00003000,3682.27,0.02,0.000,0.000,0.00
105,10.593230,0.00003150,3373.25,0.02,0.000,0.000,0.00
110,10.529963,0.00003300,2786.41,0.02,0.000,0.000,0.00
115,10.475879,0.00003450,2821.47,0.02,0.000,0.000,0.00
120,10.417576,0.00003600,2738.22,0.02,0.000,0.000,0.00
