iter,loss,lr,time_ms,mfu_percent,vram_used_gb,vram_total_gb,vram_percent
0,11.015097,0.00000299,20757.94,0.00,18.248,21.964,17.54
1,10.853508,0.00000597,9035.93,0.00,18.250,21.964,17.54
2,10.587154,0.00000896,10343.74,0.00,18.250,21.964,17.54
3,10.334326,0.00001194,10422.12,0.00,18.250,21.964,17.54
4,10.185263,0.00001493,10386.03,0.00,18.250,21.964,17.54
5,9.976711,0.00001791,10261.75,27.32,18.250,21.964,17.54
6,9.858225,0.00002090,10183.74,27.34,18.250,21.964,17.54
7,9.791667,0.00002388,10112.86,27.38,18.250,21.964,17.54
8,9.735059,0.00002687,10097.40,27.41,18.250,21.964,17.54
9,9.678028,0.00002985,10111.93,27.44,18.250,21.964,17.54
10,9.618755,0.00003284,10135.36,27.47,18.250,21.964,17.54
11,9.643997,0.00003582,10170.73,27.48,18.250,21.964,17.54
12,9.566698,0.00003881,10185.60,27.48,18.250,21.964,17.54
13,9.519825,0.00004179,10200.58,27.48,18.250,21.964,17.54
14,9.491745,0.00004478,10193.91,27.48,18.250,21.964,17.54
15,9.395816,0.00004776,10167.40,27.49,18.250,21.964,17.54
16,9.433508,0.00005075,10163.28,27.50,18.250,21.964,17.54
17,9.348530,0.00005373,10159.03,27.51,18.250,21.964,17.54
18,9.182612,0.00005672,10156.06,27.52,18.250,21.964,17.54
19,9.247999,0.00005970,10147.38,27.53,18.250,21.964,17.54
20,9.152748,0.00006269,10157.16,27.54,18.250,21.964,17.54
21,9.152327,0.00006567,10152.86,27.54,18.250,21.964,17.54
22,9.035436,0.00006866,10160.29,27.55,18.250,21.964,17.54
23,9.022770,0.00007164,10157.95,27.55,18.250,21.964,17.54
24,8.758659,0.00007463,10182.16,27.55,18.250,21.964,17.54
25,8.966616,0.00007761,10180.97,27.55,18.250,21.964,17.54
26,8.719784,0.00008060,10183.02,27.55,18.250,21.964,17.54
27,8.805514,0.00008358,10188.52,27.54,18.250,21.964,17.54
28,8.703094,0.00008657,10180.75,27.54,18.250,21.964,17.54
29,8.495361,0.00008955,10177.30,27.54,18.250,21.964,17.54
30,8.572917,0.00009254,10174.26,27.54,18.250,21.964,17.54
31,8.421131,0.00009552,10172.62,27.54,18.250,21.964,17.54
32,8.337751,0.00009851,10163.19,27.55,18.250,21.964,17.54
33,8.377412,0.00010149,10168.66,27.55,18.250,21.964,17.54
34,8.340880,0.00010448,10167.74,27.55,18.250,21.964,17.54
35,8.094566,0.00010746,10170.85,27.55,18.250,21.964,17.54
36,8.070094,0.00011045,10177.72,27.55,18.250,21.964,17.54
37,8.101471,0.00011343,10176.27,27.55,18.250,21.964,17.54
38,7.927913,0.00011642,10185.99,27.55,18.250,21.964,17.54
39,7.951659,0.00011940,10180.34,27.55,18.250,21.964,17.54
40,7.723648,0.00012239,10176.45,27.55,18.250,21.964,17.54
41,7.682416,0.00012537,10171.50,27.55,18.250,21.964,17.54
42,7.756279,0.00012836,10175.59,27.55,18.250,21.964,17.54
43,7.830700,0.00013134,10169.85,27.55,18.250,21.964,17.54
44,7.506704,0.00013433,10174.37,27.55,18.250,21.964,17.54
45,7.589824,0.00013731,10187.07,27.55,18.250,21.964,17.54
46,7.664562,0.00014030,10192.61,27.54,18.250,21.964,17.54
47,7.475883,0.00014328,10193.05,27.54,18.250,21.964,17.54
48,7.433891,0.00014627,10205.18,27.53,18.250,21.964,17.54
49,7.516603,0.00014925,10225.87,27.52,18.250,21.964,17.54
50,7.530725,0.00015224,10232.94,27.51,18.250,21.964,17.54
51,7.500530,0.00015522,10223.49,27.50,18.250,21.964,17.54
